date,location,machine,action,arg1,arg2,arg3
2019/06/18-09:43:44,0.1,64844671153662:lessandro-mbp,checked_todo,5dd3f74b-de63-44b9-93d7-a2c41667d9ec,1.1283333333333334,
2019/06/18-09:43:47,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-09:45:30,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-09:47:10,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-10:05:14,0.1,64844671153662:lessandro-mbp,open_todo,5dd3f74b-de63-44b9-93d7-a2c41667d9ec,,
2019/06/18-10:05:40,0.1,64844671153662:lessandro-mbp,checked_todo,5dd3f74b-de63-44b9-93d7-a2c41667d9ec,0.006388888888888889,
2019/06/18-10:05:46,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-10:05:55,0.1,64844671153662:lessandro-mbp,open_todo,5dd3f74b-de63-44b9-93d7-a2c41667d9ec,,
2019/06/18-10:06:01,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-10:20:38,0.1,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-10:20:57,0.1,64844671153662:lessandro-mbp,mood,7.1,feel nice but I am a bit stressed since I need to go to work soon,
2019/06/18-10:20:57,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-10:33:16,0.1,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-10:33:19,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-13:32:27,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-13:32:54,0.12,64844671153662:lessandro-mbp,mood,7.5,feel insipired to do my job- had fun playing music before,
2019/06/18-13:32:55,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-13:53:13,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-13:53:39,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-13:53:54,0.12,64844671153662:lessandro-mbp,open_todo,978cf053-9060-4292-984e-7e31996bd5b8,,
2019/06/18-14:46:16,0.12,64844671153662:lessandro-mbp,checked_todo,978cf053-9060-4292-984e-7e31996bd5b8,0.8713888888888889,
2019/06/18-14:46:19,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-17:32:43,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-17:33:06,0.12,64844671153662:lessandro-mbp,mood,6.8,don't feel productive- today a lot of non work stuff happening- didnt do anything the whole day,
2019/06/18-17:33:07,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-17:41:58,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-17:42:10,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-17:42:19,0.12,64844671153662:lessandro-mbp,open_todo,978cf053-9060-4292-984e-7e31996bd5b8,,
2019/06/18-18:49:46,0.12,64844671153662:lessandro-mbp,checked_todo,978cf053-9060-4292-984e-7e31996bd5b8,1.1236111111111111,
2019/06/18-18:49:46,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-18:49:55,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-18:49:56,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-18:50:02,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-18:50:07,0.12,64844671153662:lessandro-mbp,mood,6.0,pissed off,
2019/06/18-18:50:08,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-19:56:30,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-19:56:46,0.12,64844671153662:lessandro-mbp,mood,6.5,fixed bugs- but still a bit pissed off. I ate feel nice,
2019/06/18-19:56:47,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-20:32:53,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/18-20:32:58,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/18-20:33:40,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/18-20:33:47,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/18-20:34:22,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/18-20:34:30,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/18-20:34:42,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/18-20:35:45,0.1,132281831987612:AMOENUS.broadband,add_card,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/18-20:35:47,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/18-20:36:25,0.1,132281831987612:AMOENUS.broadband,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/18-22:10:05,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/06/18-22:35:34,0.1,64844671153662:lessandro-mbp,open,open.py,,
2019/06/18-22:35:36,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/18-22:35:48,0.1,64844671153662:lessandro-mbp,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/18-22:36:12,0.1,64844671153662:lessandro-mbp,checked_todo,cc4a48c2-91f8-441e-a717-734440c533ca,0.005555555555555556,
2019/06/18-22:36:14,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-22:36:22,0.1,64844671153662:lessandro-mbp,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/18-22:36:36,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/18-22:36:44,0.1,64844671153662:lessandro-mbp,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/18-22:37:12,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-10:19:35,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/19-10:19:47,0.1,132281831987612:AMOENUS.broadband,mood,6.0,still feeling pissed off/lost after i woke up,
2019/06/19-10:19:47,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/19-10:48:25,0.1,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-10:48:39,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-10:48:50,0.1,64844671153662:lessandro-mbp,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/19-11:10:06,0.1,64844671153662:lessandro-mbp,checked_todo,cc4a48c2-91f8-441e-a717-734440c533ca,0.35333333333333333,
2019/06/19-11:10:07,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-11:36:06,0.1,132281831987612:AMOENUS.broadband,open,open.py,,
2019/06/19-11:36:22,0.1,132281831987612:AMOENUS.broadband,mood,6.6,meditated- stayed on the floor (wow)- showered,
2019/06/19-11:36:22,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/06/19-12:00:22,None,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-12:00:34,None,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-12:00:44,0.1,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-12:01:12,0.1,64844671153662:lessandro-mbp,mood,6.9,went out- having some new ideas on what to build- planning to call therapist,
2019/06/19-12:01:14,0.1,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-12:01:31,0.1,64844671153662:lessandro-mbp,open_todo,4ca28937-4272-4046-8a82-744a0524a37b,,
2019/06/19-12:13:50,0.1,64844671153662:lessandro-mbp,checked_todo,4ca28937-4272-4046-8a82-744a0524a37b,0.2038888888888889,
2019/06/19-12:13:51,0.1,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-13:00:36,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-13:00:42,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-13:00:54,0.12,64844671153662:lessandro-mbp,open_todo,802f69ff-eade-4328-afef-4e462057a585,,
2019/06/19-13:01:24,0.12,64844671153662:lessandro-mbp,checked_todo,802f69ff-eade-4328-afef-4e462057a585,0.0077777777777777776,
2019/06/19-13:01:26,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-13:04:58,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-13:05:23,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-13:05:30,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-13:05:49,0.12,64844671153662:lessandro-mbp,mood,7.1,ate- airbnb solved- called therapist and did gym-,
2019/06/19-13:05:51,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-13:06:00,0.12,64844671153662:lessandro-mbp,open_todo,cc4a48c2-91f8-441e-a717-734440c533ca,,
2019/06/19-13:07:35,0.12,64844671153662:lessandro-mbp,checked_todo,cc4a48c2-91f8-441e-a717-734440c533ca,0.025277777777777777,
2019/06/19-13:07:37,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-13:31:53,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-13:32:17,0.12,64844671153662:lessandro-mbp,explore_tree,5e98ece3-587b-4e34-8ae0-11656a632904,,
2019/06/19-13:32:35,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-13:32:46,0.12,64844671153662:lessandro-mbp,open_todo,240f8978-0b40-4d70-a32c-433d399b2d79,,
2019/06/19-14:37:55,0.12,64844671153662:lessandro-mbp,checked_todo,240f8978-0b40-4d70-a32c-433d399b2d79,1.0847222222222221,
2019/06/19-14:37:56,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-14:45:39,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-14:45:50,0.12,64844671153662:lessandro-mbp,explore_tree,5e98ece3-587b-4e34-8ae0-11656a632904,,
2019/06/19-14:46:34,0.12,64844671153662:lessandro-mbp,mood,7.4,reading feed docs- pretty interesting,
2019/06/19-14:46:35,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/19-14:46:44,0.12,64844671153662:lessandro-mbp,open_todo,b65243a4-3d19-46a5-b045-1ba037a10842,,
2019/06/19-14:56:52,0.12,64844671153662:lessandro-mbp,mood,7.5,feel relaxed- in the office is chill and like listening to debussy,
2019/06/19-17:06:03,0.12,64844671153662:lessandro-mbp,checked_todo,b65243a4-3d19-46a5-b045-1ba037a10842,2.3208333333333333,
2019/06/19-17:06:05,0.12,64844671153662:lessandro-mbp,quit,todo.py,,
2019/06/19-19:28:56,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/19-19:29:26,0.12,64844671153662:lessandro-mbp,mood,7.0,tired- should have gone home earlier but staied to watch psc compensation,
2019/06/19-19:29:27,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/20-14:13:34,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/20-14:13:52,0.12,64844671153662:lessandro-mbp,mood,7.0,moved- ate- messy not super organized,
2019/06/20-14:13:52,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/20-14:14:03,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/20-14:14:07,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/20-14:20:40,0.12,64844671153662:lessandro-mbp,open,open.py,,
2019/06/20-14:21:11,0.12,64844671153662:lessandro-mbp,explore_tree,5e98ece3-587b-4e34-8ae0-11656a632904,,
2019/06/20-14:21:23,0.12,64844671153662:lessandro-mbp,quit,open.py,,
2019/06/20-14:21:37,0.12,64844671153662:lessandro-mbp,open_todo,b65243a4-3d19-46a5-b045-1ba037a10842,,
2019/06/20-14:36:36,0.12,64844671153662:lessandro-mbp,mood,6.6,feel a bit lost here in Facebook,
