date,location,machine,action,arg1,arg2,arg3
2019/05/08-09:01:04,0.1,132281831987612:AMOENUS.broadband,open_todo,1156fbdb-dfe0-4798-9e64-254909af5ab0,,
2019/05/08-09:01:06,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/08-09:03:35,0.1,190070690681122:lessandro-mbp,open_todo,1156fbdb-dfe0-4798-9e64-254909af5ab0,,
2019/05/08-09:03:39,0.1,190070690681122:lessandro-mbp,quit,todo.py,,
2019/05/08-09:07:15,0.1,132281831987612:AMOENUS.broadband,open_todo,1156fbdb-dfe0-4798-9e64-254909af5ab0,,
2019/05/08-09:07:22,0.1,132281831987612:AMOENUS.broadband,quit,todo.py,,
2019/05/08-09:07:50,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/08-09:08:37,0.1,190070690681122:lessandro-mbp,add_card,57191843-e798-45c5-870e-5f32c8d62e33,,
2019/05/08-09:08:37,0.1,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-09:17:02,0.1,132281831987612:AMOENUS.broadband,delete_card,videotest#############,,
2019/05/08-09:17:02,0.1,132281831987612:AMOENUS.broadband,quit,open.py,,
2019/05/08-15:54:48,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-15:55:21,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:19:34,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:24:29,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:29:19,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:31:44,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:35:02,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:37:42,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:39:31,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:39:50,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:40:30,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:44:07,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:45:08,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:47:17,0.13,190070690681122:lessandro-mbp,pop_buffer,test,,
2019/05/08-16:47:20,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-16:50:11,0.13,190070690681122:lessandro-mbp,pop_buffer,test,,
2019/05/08-16:50:12,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-18:16:27,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/08-18:42:53,0.13,190070690681122:lessandro-mbp,add_card,c1d13788-fbfd-4b93-9299-27af01e17699,,
2019/05/08-18:42:58,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-18:43:05,0.13,190070690681122:lessandro-mbp,pop_buffer,FB orchestra,,
2019/05/08-18:43:14,0.13,190070690681122:lessandro-mbp,pop_buffer,choose focus area,,
2019/05/08-18:43:38,0.13,190070690681122:lessandro-mbp,explore_tree,cc847ad0-3c26-40a9-90fb-17bb4f91faba,,
2019/05/08-18:45:35,0.13,190070690681122:lessandro-mbp,add_card,3e65a4c1-0b59-4ab9-b2cf-20294f53564e,,
2019/05/08-18:46:32,0.13,190070690681122:lessandro-mbp,add_card,20c9c170-8c02-4d4d-95c0-58516929f675,,
2019/05/08-18:48:13,0.13,190070690681122:lessandro-mbp,add_card,e34fc67d-6002-43cb-8b35-6585f78293b4,,
2019/05/08-18:48:15,0.13,190070690681122:lessandro-mbp,quit,open.py,,
2019/05/08-18:54:25,0.13,190070690681122:lessandro-mbp,quit,open.py,,
